what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1330494472204
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1330494472204
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1330494472205
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.bugzilla.core",1330494472205
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1330494472206
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1330494472207
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1330494472207
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1330494472207
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1330494472208
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1330494472208
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1330494472209
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1330494472210
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1330494472211
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1330494472211
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1330494472212
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1330494472213
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1330494472214
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1330494472216
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1330494472217
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1330494472218
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1330494472219
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1330494472219
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1330494472219
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1330494472219
os,sysinfo,,,"macosx",1330494472222
arch,sysinfo,,,"x86_64",1330494472222
ws,sysinfo,,,"cocoa",1330494472222
locale,sysinfo,,,"en_US",1330494472222
processors,sysinfo,,,"2",1330494472223
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330494472223
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11D50b",1330494472223
java.specification.name,sysinfo,,,"Java Platform API Specification",1330494472223
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330494472223
java.specification.version,sysinfo,,,"1.6",1330494472223
java.vendor,sysinfo,,,"Apple Inc.",1330494472223
java.version,sysinfo,,,"1.6.0_29",1330494472223
java.vm.info,sysinfo,,,"mixed mode",1330494472223
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1330494472223
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330494472223
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330494472223
java.vm.specification.version,sysinfo,,,"1.0",1330494472223
java.vm.vendor,sysinfo,,,"Apple Inc.",1330494472223
java.vm.version,sysinfo,,,"20.4-b02-402",1330494472223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330494484233
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1330494501398
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1330494501476
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1330494501635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330494501659
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1330494501742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1330494501770
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1330494505428
